vids freq
DNK000001391 0.000219
DNK000001391 0.000219
DNK000001391 0.001313
DNK000001391 0.000876
DNK000001391 0.000438
DNK000001391 0.001313
DNK000001391 0.000438
DNK000001391 0.010068
DNK000001391 0.062205
DNK000001391 0.006800
DNK000001391 0.006800
DNK000001391 0.000438
DNK000001391 0.098087
DNK000001391 0.005260
DNK000001391 0.005260
DNK000001391 0.068144
DNK000001391 0.068144
DNK000001391 0.055639
DNK000001391 0.021027
DNK000001391 0.002627
DNK000001391 0.075601
DNK000001391 0.134304
DNK000001391 0.004159
DNK000001391 0.004159
DNK000001391 0.000438
DNK000001391 0.015774
DNK000001391 0.090280
DNK000001391 0.077527
DNK000001391 0.036363
DNK000001391 0.000876
DNK000001391 0.000438
DNK000001391 0.016649
DNK000001391 0.006129
DNK000001391 0.006129
DNK000001391 0.000219
DNK000001391 0.000219
DNK000001391 0.000438
DNK000001391 0.000438
DNK000001391 0.000438
DNK000001391 0.006785
DNK000001391 0.006785
DNK000001391 0.000876
DNK000001391 0.000876
DNK000001391 0.000438
DNK000001391 0.000890
DNK000001391 0.001313
DNK000001391 0.000657
DNK000001391 0.000657
DNK000001391 0.000876
DNK000001391 0.001970
DNK000001391 0.001970
DNK000001391 0.005581
DNK000001391 0.005581
DNK000001391 0.000438
DNK000001403 0.092818
DNK000001403 0.072928
DNK000001403 0.265635
DNK000001403 0.132376
DNK000001403 0.013260
DNK000001403 0.021657
DNK000001403 0.053039
DNK000001403 0.013260
DNK000001403 0.006630
DNK000001403 0.172376
DNK000001403 0.013260
DNK000001403 0.013260
DNK000001403 0.019890
DNK000001403 0.039779
DNK000001403 0.019890
SWE_1 0.001444
SWE_1 0.001444
SWE_1 0.000192
SWE_1 0.000096
SWE_1 0.000096
SWE_1 0.000192
SWE_1 0.000192
SWE_1 0.000096
SWE_1 0.000096
SWE_1 0.000192
SWE_1 0.000192
SWE_1 0.000384
SWE_1 0.000096
SWE_1 0.000096
SWE_1 0.000576
SWE_1 0.001735
SWE_1 0.000960
SWE_1 0.000480
SWE_1 0.000480
SWE_1 0.000096
SWE_1 0.000096
SWE_1 0.000192
SWE_1 0.000192
SWE_1 0.000480
SWE_1 0.000480
SWE_1 0.000192
SWE_1 0.000192
SWE_1 0.000096
SWE_1 0.000096
SWE_1 0.000192
SWE_1 0.000576
SWE_1 0.000576
SWE_1 0.000576
SWE_1 0.000192
SWE_1 0.000192
SWE_1 0.000960
SWE_1 0.000384
SWE_1 0.000768
SWE_1 0.000192
SWE_1 0.000096
SWE_1 0.000096
SWE_1 0.000096
SWE_1 0.000096
SWE_1 0.000768
SWE_1 0.000960
SWE_1 0.000384
SWE_1 0.000768
SWE_1 0.000387
SWE_1 0.000387
SWE_1 0.000192
SWE_1 0.000192
SWE_1 0.000480
SWE_1 0.000480
SWE_1 0.000384
SWE_1 0.000384
SWE_1 0.000192
SWE_1 0.000384
SWE_1 0.000384
SWE_1 0.000384
SWE_1 0.000384
SWE_1 0.000384
SWE_1 0.000960
SWE_1 0.000291
SWE_1 0.000291
SWE_1 0.000384
SWE_1 0.000384
SWE_1 0.000768
SWE_1 0.000768
SWE_1 0.000384
SWE_1 0.000096
SWE_1 0.000096
SWE_1 0.000192
SWE_1 0.000096
SWE_1 0.000096
SWE_1 0.000288
SWE_1 0.000288
SWE_1 0.000096
SWE_1 0.000096
SWE_1 0.001536
SWE_1 0.001543
SWE_1 0.001152
SWE_1 0.000864
SWE_1 0.000864
SWE_1 0.001344
SWE_1 0.000288
SWE_1 0.000288
SWE_1 0.000384
SWE_1 0.000960
SWE_1 0.000679
SWE_1 0.000679
SWE_1 0.000672
SWE_1 0.000672
SWE_1 0.000768
SWE_1 0.000960
SWE_1 0.000192
SWE_1 0.000096
SWE_1 0.000096
SWE_1 0.003854
SWE_1 0.000096
SWE_1 0.000096
SWE_1 0.000192
SWE_1 0.001152
SWE_1 0.000192
SWE_1 0.000768
SWE_1 0.005953
SWE_1 0.000096
SWE_1 0.000096
SWE_1 0.000768
SWE_1 0.000384
SWE_1 0.000576
SWE_1 0.000864
SWE_1 0.000864
SWE_1 0.001344
SWE_1 0.001344
SWE_1 0.004423
SWE_1 0.006145
SWE_1 0.009794
SWE_1 0.003463
SWE_1 0.001536
SWE_1 0.000576
SWE_1 0.000576
SWE_1 0.000384
